5482, none, beyond_earth:infernal_venus_barrens, CREATURE, ars_nouveau:drygmy,0,1,1
5481, none, beyond_earth:infernal_venus_barrens, MONSTER, quark:stoneling,5,1,1
5480, none, beyond_earth:infernal_venus_barrens, MONSTER, quark:toretoise,0,2,4
5471, none, beyond_earth:mars, CREATURE, ars_nouveau:drygmy,0,1,1
5468, none, beyond_earth:mars, MONSTER, beyond_earth:martian_raptor,20,5,5
5470, none, beyond_earth:mars, MONSTER, quark:stoneling,5,1,1
5469, none, beyond_earth:mars, MONSTER, quark:toretoise,0,2,4
5476, icy, beyond_earth:mars_ice_spikes, CREATURE, ars_nouveau:drygmy,0,1,1
5473, icy, beyond_earth:mars_ice_spikes, MONSTER, ars_nouveau:wilden_hunter,0,1,1
5472, icy, beyond_earth:mars_ice_spikes, MONSTER, ars_nouveau:wilden_stalker,0,3,3
5475, icy, beyond_earth:mars_ice_spikes, MONSTER, quark:stoneling,3,1,1
5474, icy, beyond_earth:mars_ice_spikes, MONSTER, quark:toretoise,0,2,4
5485, none, beyond_earth:mercury, CREATURE, ars_nouveau:drygmy,0,1,1
5484, none, beyond_earth:mercury, MONSTER, quark:stoneling,5,1,1
5483, none, beyond_earth:mercury, MONSTER, quark:toretoise,0,2,4
5467, none, beyond_earth:moon, CREATURE, ars_nouveau:drygmy,0,1,1
5463, none, beyond_earth:moon, MONSTER, beyond_earth:alien_zombie,20,5,5
5464, none, beyond_earth:moon, MONSTER, beyond_earth:star_crawler,20,5,5
5466, none, beyond_earth:moon, MONSTER, quark:stoneling,3,1,1
5465, none, beyond_earth:moon, MONSTER, quark:toretoise,0,2,4
5488, none, beyond_earth:orbit, CREATURE, ars_nouveau:drygmy,0,1,1
5487, none, beyond_earth:orbit, MONSTER, quark:stoneling,5,1,1
5486, none, beyond_earth:orbit, MONSTER, quark:toretoise,0,2,4
5479, none, beyond_earth:venus, CREATURE, ars_nouveau:drygmy,0,1,1
5478, none, beyond_earth:venus, MONSTER, quark:stoneling,3,1,1
5477, none, beyond_earth:venus, MONSTER, quark:toretoise,0,2,4
2504, forest, biomesoplenty:bamboo_grove, AMBIENT, alexsmobs:fly,3,2,3
2507, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:catfish,3,1,1
2510, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2502, forest, biomesoplenty:bamboo_grove, CREATURE, ars_nouveau:drygmy,3,1,1
2480, forest, biomesoplenty:bamboo_grove, MONSTER, instrumentalmobs:drum_zombie,3,4,4
2482, forest, biomesoplenty:bamboo_grove, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
2479, forest, biomesoplenty:bamboo_grove, MONSTER, instrumentalmobs:maraca_spider,3,4,4
2483, forest, biomesoplenty:bamboo_grove, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
2481, forest, biomesoplenty:bamboo_grove, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
2495, forest, biomesoplenty:bamboo_grove, CREATURE, minecraft:panda,3,1,2
