1, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
2, none, minecraft:the_void, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
3, none, minecraft:the_void, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
4, none, minecraft:the_void, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
5, none, minecraft:the_void, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
6, none, minecraft:the_void, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
7, none, minecraft:the_void, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
8, none, minecraft:the_void, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
9, none, minecraft:the_void, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
10, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
11, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
12, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
13, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
14, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
15, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
16, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
17, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
18, plains, minecraft:plains, MONSTER, graveyard:ghoul, 12, 2, 3
19, plains, minecraft:plains, MONSTER, graveyard:revenant, 12, 2, 3
20, plains, minecraft:plains, MONSTER, graveyard:nightmare, 5, 1, 1
21, plains, minecraft:plains, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
22, plains, minecraft:plains, MONSTER, graveyard:acolyte, 7, 1, 2
23, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
24, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
25, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 2, 4
26, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
27, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
28, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
29, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 4, 4
30, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
31, plains, minecraft:plains, CREATURE, minecraft:donkey, 3, 1, 3
32, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
33, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
34, plains, minecraft:plains, CREATURE, alexsmobs:bison, 9, 6, 10
35, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
36, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 3, 2, 3
37, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
38, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
39, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
40, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
41, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
42, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
43, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
44, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
45, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
46, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
47, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
48, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
49, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
50, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
