1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
2, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 3, 1, 1
3, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
4, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
5, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
6, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
7, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
8, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
9, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
10, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
11, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
12, minecraft:swamp_hut, MONSTER, minecraft:witch, 3, 1, 1
13, minecraft:swamp_hut, CREATURE, minecraft:cat, 3, 1, 1
14, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
15, minecraft:monument, HEADING, header:ignore, 0, 0, 0
16, minecraft:monument, MONSTER, minecraft:guardian, 3, 2, 4
17, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
18, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
19, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
20, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
21, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
22, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
23, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
24, minecraft:fortress, MONSTER, minecraft:magma_cube, 3, 4, 4
25, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
26, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
27, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
28, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
29, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
30, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
31, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
32, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
33, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
34, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
35, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
36, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
37, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
38, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
39, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
40, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
41, evilcraft:dark_temple_default, HEADING, header:ignore, 0, 0, 0
42, byg:village_red_rock, HEADING, header:ignore, 0, 0, 0
43, byg:village_skyris, HEADING, header:ignore, 0, 0, 0
44, byg:village_ruins, HEADING, header:ignore, 0, 0, 0
45, byg:village_tropical, HEADING, header:ignore, 0, 0, 0
46, byg:red_rock_arch, HEADING, header:ignore, 0, 0, 0
47, byg:overgrown_stone_arch, HEADING, header:ignore, 0, 0, 0
48, byg:stone_arch, HEADING, header:ignore, 0, 0, 0
49, byg:destroyed_red_rock_arch, HEADING, header:ignore, 0, 0, 0
50, tconstruct:earth_slime_island, HEADING, header:ignore, 0, 0, 0
51, tconstruct:sky_slime_island, HEADING, header:ignore, 0, 0, 0
52, tconstruct:clay_island, HEADING, header:ignore, 0, 0, 0
53, tconstruct:blood_island, HEADING, header:ignore, 0, 0, 0
54, tconstruct:blood_island, MONSTER, minecraft:magma_cube, 3, 4, 6
55, tconstruct:end_slime_island, HEADING, header:ignore, 0, 0, 0
56, mythicbotany:wg_andwari_cave, HEADING, header:ignore, 0, 0, 0
57, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
58, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
59, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 2
60, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 1, 3
61, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
62, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
63, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 2
64, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 1, 3
65, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
66, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
67, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
68, graveyard:small_graveyard, HEADING, header:ignore, 0, 0, 0
